epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,561.009,1.6478,3.29667,4.09221,0.01135,4.0069,0.00636,0.36658,0.05159,0.02315,0.0058,0.33416,0.06655,0.02503,1.71082,4.92974,4.98608,0.01527,0,0.000645161,0.000645161,0.000645161
2,1158.12,1.56055,2.81419,3.28634,0.00982,2.4932,0.00779,0.44888,0.04889,0.01548,0.00749,0.43142,0.04277,0.01155,1.7049,4.01527,4.75723,0.01596,0,0.00129884,0.00129884,0.00129884
3,1706.41,1.63052,2.8035,2.92687,0.01042,2.34523,0.3351,0.17706,0.16027,0.06764,0.30921,0.15461,0.13473,0.05239,1.81048,4.81069,4.0027,0.01592,0,0.00193932,0.00193932,0.00193932
4,2250.57,1.65965,2.71331,2.65822,0.01043,2.26237,0.36253,0.30424,0.22773,0.10465,0.38451,0.30175,0.21156,0.10023,1.97061,3.70548,3.55769,0.01722,0,0.0019406,0.0019406,0.0019406
5,2786.5,1.70305,2.71432,2.56457,0.01132,2.26856,0.40807,0.29426,0.2591,0.11016,0.39913,0.28429,0.26148,0.109,1.97894,3.186,3.099,0.01811,0,0.0019208,0.0019208,0.0019208
6,3326.97,1.6843,2.73767,2.40284,0.01111,2.20199,0.30939,0.27818,0.19363,0.09118,0.32748,0.24651,0.18966,0.08194,1.91793,3.37161,3.05087,0.01693,0,0.001901,0.001901,0.001901
7,3869.58,1.65867,2.62565,2.2964,0.01078,2.14043,0.41881,0.25935,0.26594,0.12396,0.3551,0.2793,0.22093,0.09258,1.93431,4.14086,2.8678,0.01665,0,0.0018812,0.0018812,0.0018812
8,4466.97,1.66237,2.6509,2.20687,0.01089,2.00165,0.31263,0.25935,0.18973,0.09936,0.30269,0.25935,0.17419,0.07204,1.87797,4.27548,3.09979,0.01618,0,0.0018614,0.0018614,0.0018614
9,5160.04,1.64234,2.63745,2.15916,0.01094,2.11094,0.34078,0.34549,0.26491,0.12489,0.34805,0.35162,0.2572,0.10957,1.98805,3.35274,2.81381,0.0185,0,0.0018416,0.0018416,0.0018416
10,5751.9,1.66721,2.54191,2.06777,0.01083,2.05702,0.41435,0.3217,0.28242,0.14574,0.41508,0.3217,0.27584,0.13569,1.83441,3.19955,2.63845,0.01686,0,0.0018218,0.0018218,0.0018218
11,6332.76,1.68211,2.5669,2.08902,0.01096,2.05964,0.46795,0.33119,0.34094,0.17327,0.47152,0.34414,0.33313,0.15583,1.80148,2.92589,2.48134,0.01573,0,0.001802,0.001802,0.001802
12,6916.43,1.60052,2.45052,1.98407,0.01079,2.01983,0.4743,0.33416,0.34127,0.16963,0.48138,0.33915,0.35009,0.15993,1.79221,2.8834,2.40841,0.01576,0,0.0017822,0.0017822,0.0017822
13,7530.19,1.6261,2.48068,1.94166,0.01118,1.9436,0.36693,0.34913,0.29505,0.14769,0.37665,0.34165,0.28258,0.12663,1.76277,2.97716,2.44751,0.01527,0,0.0017624,0.0017624,0.0017624
14,8181.74,1.64132,2.52939,1.96167,0.01077,1.99995,0.40527,0.30673,0.29439,0.15835,0.41773,0.3192,0.28948,0.13428,1.88735,3.00628,2.51193,0.01635,0,0.0017426,0.0017426,0.0017426
15,8839.77,1.62214,2.44684,1.89317,0.01042,1.86185,0.33358,0.37157,0.28783,0.1465,0.31099,0.35162,0.26767,0.12373,1.87092,3.0431,2.61357,0.01634,0,0.0017228,0.0017228,0.0017228
16,9490.96,1.62487,2.4726,1.89614,0.01118,1.86864,0.43056,0.34663,0.30264,0.15359,0.47132,0.32918,0.31758,0.14461,1.88393,3.17142,2.42092,0.01662,0,0.001703,0.001703,0.001703
17,10051,1.60683,2.4183,1.88786,0.01064,1.87337,0.415,0.35162,0.33052,0.17361,0.45117,0.35411,0.31878,0.14,1.79357,3.06847,2.39159,0.01578,0,0.0016832,0.0016832,0.0016832
18,10596.4,1.57535,2.41436,1.81626,0.01076,1.73633,0.38651,0.38155,0.3146,0.16741,0.4149,0.36409,0.29155,0.13334,1.77207,3.15443,2.37457,0.01513,0,0.0016634,0.0016634,0.0016634
