epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,218.53,1.14023,5.48403,0.03046,0.0039,0.9318,0.24527,0.15118,0.96773,11.8825,0.03551,0.000451263,0.000451263,0.000451263
2,430.904,0.91557,4.73138,0.02328,0.00357,0.9433,0.24448,0.19762,0.61911,10.8953,0.02295,0.000918413,0.000918413,0.000918413
3,652.706,0.94019,4.15566,0.02372,0.00367,0.95441,0.45544,0.27712,1.07209,10.9892,0.04279,0.00137613,0.00137613,0.00137613
4,885.694,1.02117,3.71246,0.02522,0.34292,0.42288,0.38259,0.20159,1.42621,10.593,0.06037,0.00138656,0.00138656,0.00138656
5,1122.23,1.05906,3.42569,0.02612,0.58329,0.29163,0.47187,0.36688,0.85209,8.36123,0.03387,0.00137241,0.00137241,0.00137241
6,1360.88,1.03844,3.05903,0.02541,0.65552,0.6723,0.74564,0.50078,1.26826,6.97276,0.05524,0.00135826,0.00135826,0.00135826
7,1600.66,0.97893,2.8721,0.02484,0.68287,0.64597,0.74041,0.57585,0.94964,6.22999,0.03593,0.00134412,0.00134412,0.00134412
8,1839.98,0.97119,2.61365,0.0245,0.7037,0.84588,0.81973,0.58482,1.18142,5.16238,0.04627,0.00132997,0.00132997,0.00132997
9,2156.26,1.01429,2.36453,0.02499,0.67455,0.72031,0.7981,0.62608,0.7952,4.89864,0.02737,0.00131582,0.00131582,0.00131582
10,2450.34,1.01882,2.21367,0.02579,0.68079,0.63563,0.69742,0.43785,1.47407,4.8748,0.06346,0.00130168,0.00130168,0.00130168
11,2694.96,1.02886,2.09394,0.02518,0.73177,0.62752,0.73377,0.60052,0.79293,4.09989,0.02977,0.00128753,0.00128753,0.00128753
12,2922.71,0.89865,1.76184,0.02095,0.72411,0.66095,0.76341,0.59423,0.96312,3.82013,0.03783,0.00127338,0.00127338,0.00127338
13,3143.29,0.89321,1.72001,0.02184,0.69181,0.76098,0.7629,0.59396,0.90863,3.46259,0.0342,0.00125923,0.00125923,0.00125923
14,3352.95,0.93855,1.68967,0.02327,0.72903,0.77352,0.80147,0.60717,1.01583,3.27611,0.04116,0.00124509,0.00124509,0.00124509
15,3565.02,0.89944,1.5444,0.02263,0.59462,0.71872,0.72841,0.549,1.08322,3.23286,0.04409,0.00123094,0.00123094,0.00123094
16,3779.7,0.91179,1.52583,0.02246,0.73026,0.68622,0.80412,0.63683,0.9069,2.97951,0.03583,0.00121679,0.00121679,0.00121679
17,3994.69,0.9025,1.39488,0.02177,0.74718,0.76649,0.80593,0.64558,0.89414,2.67096,0.03548,0.00120265,0.00120265,0.00120265
